OID_,Aspect,MTSFG,ALT,Wind,Tem,Sun,Pre,NDVI,Night,GPP,ET,Disturb,Water,Road,Rail,CLCD,Sand,Clay,Silt,Slope,long,lat,Relief,Erosion,Rock,DEM,Frozen2005
0,63.7094,0.0,0.0,2.19648,-18.42,3.95971,1127.25,-0.0342067,75.0,0.0,114.183,0.0,8678.28,19987.1,121037.0,6.0,0.0,0.0,0.0,5.27326,90.297,28.1735,8.0,31.0,-1.0,6444.0,0.0
1,302.001,0.0,0.0,2.19479,-18.33,3.95825,1128.67,-0.0312283,125.0,0.0,146.219,0.0,8003.91,19370.5,120785.0,6.0,0.0,0.0,0.0,2.45499,90.3068,28.1748,4.0,31.0,-1.0,6451.0,0.0
2,48.5883,0.0,0.0,2.20907,-15.6317,3.96682,1116.66,-0.0551167,2.2,0.0,157.0,0.0,4589.39,21904.8,121458.0,6.0,0.0,0.0,0.0,29.1714,90.24440000000001,28.1758,49.0,31.0,-1.0,6244.0,0.0
3,310.434,0.0,0.0,2.20743,-14.7133,3.96536,1117.96,-0.0467367,2.2,0.0,157.0,0.0,5153.88,21378.2,121165.0,6.0,0.0,0.0,0.0,10.8964,90.2548,28.1771,15.0,31.0,-1.0,6014.0,0.0
4,346.721,0.0,0.0,2.20578,-14.5567,3.96389,1119.28,-0.0425467,1.8,0.0,157.0,0.0,5836.31,20887.1,120880.0,6.0,0.0,0.0,0.0,7.3564,90.2649,28.1784,8.0,31.0,-1.0,5944.0,0.0
5,220.685,0.0,0.0,2.20412,-15.9933,3.96243,1120.64,-0.0537883,1.2,0.0,157.0,0.0,6600.19,20432.1,120603.0,6.0,0.0,0.0,0.0,23.639,90.2747,28.1797,37.0,31.0,-1.0,6277.0,0.0
6,13.6312,0.0,0.0,2.20245,-17.9283,3.96097,1122.01,-0.0436383,3.8,0.0,157.0,0.0,7267.22,20012.5,120333.0,6.0,0.0,0.0,0.0,20.2349,90.2852,28.181,33.0,31.0,-1.0,6496.0,0.0
7,321.047,0.0,0.0,2.20078,-17.985,3.95951,1123.42,-0.0332333,17.6,0.0,157.0,0.0,7956.92,19523.8,120071.0,6.0,0.0,0.0,0.0,3.70778,90.2953,28.1823,6.0,31.0,-1.0,6352.0,0.0
8,279.328,0.0,0.0,2.1991,-18.365,3.95805,1124.85,-0.0324533,34.2,0.0,146.257,0.0,7814.25,18899.2,119817.0,6.0,0.0,0.0,0.0,7.23732,90.3055,28.1836,9.0,31.0,-1.0,6423.0,0.0
9,94.7028,0.0,0.0,2.21498,-16.5283,3.96807,1111.45,-0.0399833,1.8,0.0,157.0,0.335987,3250.0,21812.5,120806.0,7.0,0.0,0.0,0.0,40.287,90.2329,28.1833,64.0,31.0,-1.0,6399.0,0.0
